fips,county,state,base_cancer,base_neuro,base_amr,w_pm25,w_poverty,w_access,pm25,poverty,access
05119,Pulaski,AR,0.5198198198198198,0.575,0.28786666666666666,1.0,0.8,-0.7,10.423599000000001,0.5058605798889575,0.896
05121,Randolph,AR,0.5,0.5,0.4317666666666666,1.0,0.8,-0.7,,0.7927205428747687,0.883
05123,St. Francis,AR,0.5,0.5,0.7453,1.0,0.8,-0.7,,1.0,0.849
05125,Saline,AR,0.5,0.5,0.15982222222222225,1.0,0.8,-0.7,,0.296113510178902,0.908
05127,Scott,AR,0.5,0.5,0.44164444444444445,1.0,0.8,-0.7,,0.6138186304750157,0.876
05129,Searcy,AR,0.5,0.5,0.6579222222222222,1.0,0.8,-0.7,,0.8636644046884645,0.881
05131,Sebastian,AR,0.5,0.5,0.31092222222222216,1.0,0.8,-0.7,,0.4626773596545345,0.871
05133,Sevier,AR,0.5,0.5,0.49705555555555536,1.0,0.8,-0.7,,0.7711289327575577,0.795
05135,Sharp,AR,0.5,0.5,0.5466333333333332,1.0,0.8,-0.7,,0.7557063541024064,0.889
05137,Stone,AR,0.5,0.5,0.6091555555555553,1.0,0.8,-0.7,,0.8050586057988899,0.888
05139,Union,AR,0.7657657657657657,0.8250000000000002,0.5319777777777777,1.0,0.8,-0.7,9.4744945,0.6971005552128318,0.886
05141,Van Buren,AR,0.5,0.5,0.5472333333333332,1.0,0.8,-0.7,,0.7618753855644669,0.887
05143,Washington,AR,0.4543193050348254,0.268856701612862,0.07698888888888888,1.0,0.8,-0.7,8.447826,0.26218383713756943,0.873
05145,White,AR,0.5,0.5,0.26603333333333323,1.0,0.8,-0.7,,0.5953115360888344,0.891
05147,Woodruff,AR,0.5,0.5,0.7144666666666666,1.0,0.8,-0.7,,0.8420727945712528,0.874
05149,Yell,AR,0.5,0.5,0.44256666666666655,1.0,0.8,-0.7,,0.7618753855644665,0.847
06001,Alameda,CA,0.1722326894509156,0.14762801952935622,0.13018888888888885,1.0,0.8,-0.7,6.691463158730159,0.0,0.929
06003,Alpine,CA,0.5,0.5,0.17265555555555553,1.0,0.8,-0.7,,0.018507094386181314,0.943
06005,Amador,CA,0.5,0.5,0.19361111111111115,1.0,0.8,-0.7,,0.098704503392967,0.925
06007,Butte,CA,0.3225586279552486,0.3360348085176262,0.1104555555555555,1.0,0.8,-0.7,6.936163444444444,0.07402837754472526,0.917
06009,Calaveras,CA,0.26485649246052234,0.5064600051206022,0.30129999999999985,1.0,0.8,-0.7,5.483766666666667,0.18507094386181377,0.929
06011,Colusa,CA,0.4578038895884141,0.4718434883730809,0.34835555555555553,1.0,0.8,-0.7,8.502340736842106,0.3516347933374459,0.824
06013,Contra Costa,CA,0.18239521752918617,0.20633875788215963,0.15562222222222225,1.0,0.8,-0.7,6.850451277777778,0.0,0.922
06015,Del Norte,CA,0.5,0.5,0.2546555555555555,1.0,0.8,-0.7,,0.24984577421344856,0.903
06017,El Dorado,CA,0.5,0.5,0.1104333333333334,1.0,0.8,-0.7,,0.0,0.943
06019,Fresno,CA,0.508108108108108,0.45,0.284911111111111,1.0,0.8,-0.7,10.064340206349208,0.4071560764959905,0.854
06021,Glenn,CA,0.5,0.5,0.27443333333333325,1.0,0.8,-0.7,,0.2529302899444789,0.863
06023,Humboldt,CA,0.3825750719141362,0.3672072044978312,0.1625,1.0,0.8,-0.7,6.592522615384615,0.20049352251696473,0.925
06025,Imperial,CA,0.48323072921696614,0.5187344474369363,0.48629999999999984,1.0,0.8,-0.7,9.35819302857143,0.376310919185688,0.779
06027,Inyo,CA,0.19497941767577842,0.36683563986109197,0.24147777777777776,1.0,0.8,-0.7,5.6731424215686275,0.06785934608266514,0.921
06029,Kern,CA,0.5900900900900901,0.475,0.33787777777777783,1.0,0.8,-0.7,10.479224568627451,0.416409623689081,0.833
06031,Kings,CA,0.6018018018018019,0.425,0.2472444444444444,1.0,0.8,-0.7,10.964717777777777,0.3454657618753858,0.824
06033,Lake,CA,0.2752252252252252,0.4750000000000001,0.3802999999999999,1.0,0.8,-0.7,3.234426,0.3578038247995067,0.899
06035,Lassen,CA,0.5,0.5,0.18377777777777776,1.0,0.8,-0.7,,0.3454657618753858,0.88
06037,Los Angeles,CA,0.39099099099099094,0.4000000000000001,0.26843333333333325,1.0,0.8,-0.7,11.404456104000001,0.0,0.883
06039,Madera,CA,0.5767191828713287,0.5535006123453088,0.3570333333333333,1.0,0.8,-0.7,9.080145555555553,0.44417026526835285,0.821
06041,Marin,CA,0.06685088633962691,0.1573007597196803,0.06316666666666665,1.0,0.8,-0.7,5.042812888888889,0.0,0.945
06043,Mariposa,CA,0.5,0.5,0.32523333333333326,1.0,0.8,-0.7,,0.1912399753238742,0.927
06045,Mendocino,CA,0.4093755561054375,0.5601597430710701,0.34978888888888876,1.0,0.8,-0.7,6.920191777777777,0.2128315854410856,0.897
06047,Merced,CA,0.43900303409340435,0.3455933342422231,0.3190444444444444,1.0,0.8,-0.7,7.5669245555555555,0.32387415175817413,0.8180000000000001
06049,Modoc,CA,0.5,0.5,0.4380222222222222,1.0,0.8,-0.7,,0.3454657618753858,0.914
